# ----------------------------------------
# Report CSV Export
# Account: Sport
# Property: sport.hu - GA4
# ----------------------------------------
#  
# Start date: 20231001
# End date: 20231031
Nth day,Users
"„Teljes korosztályok kerültek ki úgy az utánpótlásból, hogy nem volt köztük két-három válogatott szintű játékos” – interjú Juhász Istvánnal, az MKSZ sportszakmai igazgatójával",18740
"A Bulgáriában fellelt csiszolatlan gyémánt, Cebrail Makreckis",17929
Súlyos edzői hibák miatt mondott csődöt a bajnokság egyik legjobb védelme,17585
149 öngól tiltakozásképpen egy futballmérkőzésen,15692
„A Genk és a Fradi sem Konferencia-liga-csapat” – interjú Tőzsér Dániellel,15421
"„Úgy megyünk neki a középiskolának, hogy nincs általános iskolai képzés. Mintha bukott diákokat vennénk fel a gimnáziumokba” – interjú Révész Attilával",15042
„A tudásom nagy részét Dominik apukájától szereztem a Főnixben”,14121
„A kapusunk megmentő angyalként védett” – belga lapszemle a Ferencváros elleni döntetlent követően,13488
"Káoszból fieszta Diósgyőrben! A középpályás állt be a kapusedzőt váltó ifi helyére, és egyből tizenegyest védett",12904
"„A legnagyobb kárt azzal okoztuk a magyar futballnak, hogy a honi edzőknek nem kínáltunk esélyt” – interjú a Mezőkövesd szakmai igazgatójával, Tóth Lászlóval",12821
Bognár György belátása az élbolyba repítette a Paksot,12789
"„Nagyjából két választásom volt: beállok drogdílernek, vagy huligán leszek”",12686
A világtörténelem öt legeredményesebb szabadrúgáslövője,12542
"„Ott akarok dolgozni, ahol elfogadnak, urambocsá’ szeretnek. Kozármislenyben elfogadnak” – interjú Aczél Zoltánnal",12418
"Hat fiatal magyar játékos, aki nagyszerűen teljesít az NB I-ben vagy az NB II-ben",10882
Az Arsenal és a Barcelona egykori hátvédje vezetheti ki az Eb-re az albán válogatottat,10189
"Fókuszban San Marino szurkolói, Az örömöt nélkülöző brigád",9806
"„Ha valamit tanácsolhatok a korombelieknek, vagy a még fiatalabbaknak, az az, hogy ne legyenek okostónik” – interjú a soroksári Kaján Norberttel",9364
"„Győztes volt, akinek nem a győzelem volt a legfontosabb” – megemlékező interjú a magyar futsal meghatározó alakjáról",8227
Premier League alulnézetből – látogatás a Luton Townnál,8026
"A visszasírt BEK nyolc magyar csodája, Csordás Lajostól Kű Lajosig",7846
NFL-csapatnál volt próbajátékon az Al Bundy-t alakító Ed O’Neill,7815
"„A szegénységből fakadt a bűnözés, nagyon veszélyes környék volt a miénk” – interjú Cristian Ramírezzel",7777
"Milák Kristóf senkinek sem tartozik, de döntenie kell!",7570
"Másodjára is jelentős szerepet játszott a szerencse a szerbek legyőzésében, innentől már csak formalitás az Eb-re való kijutás",7422
"Úgy tűnik, Nyíregyházán ezúttal megtalálták a sikerekhez vezető utat",7204
20-szoros pénzt ér egy Fradi gól a Fiorentina ellen,6989
A kráterbe épült stadion ámulatba ejti az odalátogatókat,6744
Arsenal–Man. City: mit tanultunk a szuperrangadóból?,6717
Hogyan menekült meg Alex Ferguson a kudarcok sorát hozó években?,6513
Tottenham-Liverpool: erre VAR-junk gombot!,6121
Egy pontra vagyunk az Európa-bajnokságtól – hét pontban a magyar válogatottról,5814
Mesternégyes csereként: Solskjaer még Lautaro Martínezt is felülmúlta,5719
Néhány hónapja alapított csapat tör a portugál élvonal felé,5701
"Martin Albertsen jött, látott és néhány hónap után távozott",5623
A marseille-i kegyetlen színház,5555
Magyar gólkirállyal orvosolná a gólínségét a Warta Poznan,5445
"„Ha a szurkolókat fotózod, az akció közelében kell lenned” – egy angol fotós a lengyel futball megszállottja lett",5424
Egy időben igen erős volt a magyar légió Genkben,5377
Nem táncolhat többet „Papu” Gómez,5362
Egy magyar fiú kalandjai a Chelsea futballtáborában,5338
Dante még negyven felett is „pokolian jól” futballozik,5275
A GOG 18 éves játékosokat szerepeltetett Barcelonában,4940
"Manchester United: fejetlenség a gyepen, fejetlenség a klubban",4805
Történelmi mélyponton a hússzoros svájci bajnok,4797
"Az Inter klasszisa fiatalon elutasította a Real Madridot, és más sportágat is választhatott volna",4780
"Csillaghullás a selejtezőben, a Barcelona harcba száll a címvédésért",4747
Ajkán a sikercsapatból lett mezőny végén kullogó,4737
Több évtizedes veszprémi álom vált valóra Barcelonában,4649
"Mi vezetett Japánból indulva, 30 évesen egy német középcsapatból a Liverpoolhoz? – és hogyan illeszkedhet be Endó, mi lehet a szerepe?",4564
Kalmár Zsolt érkezése jót tett a Fehérvárnak,4486
50 évesen debütált az Európa-kupában egy intenzív osztályos nővér,4412
"Hiába a gyatra támadójáték, hiába a diszkriminációs botrány, a legendás apa fia még mindig pozícióban van",4398
Sikersztori! Így érkezett meg a „kicsi és lassú” osztrák középpályás a negyedosztályból az élvonalba,4383
Az egész NFL-társadalom aggódik Chandler Jonesért,4365
"A páratlan szépségű stadion, amelyet az Atlanti-óceán határol",4357
"Magyar gól 20,00-as, szerb gól 1,30-as oddson fogadható az esti meccsen",4340
"Blagojevics megmutatta, hogyan lehet féken tartani a Ferencvárost",4331
"Válság Kecskeméten, augusztus óta nem nyertek tétmeccset",4230
"Drezdában bizonyítják, hogy nem osztályhoz kötött a fanatizmus",4045
"A Reading az a klub, melynek a sofőrje elaludt a volánnál",3940
A lipcsei ugródeszkáról dobbanthat nagyot Xavi Simons,3923
Fél gőzzel futballozva is hármat rúgott a Ferencváros az Újpestnek,3883
Az egyik legsikeresebb magyar edző nem kötötte le magát egy klubhoz (könyvajánló),3743
Antoine Griezmann nélkül hat éve nincs francia válogatott,3709
A magyar belső védő a második felnőtt szezonjában már remek játékot nyújt – a DAC-ban,3666
Góllal ünnepelte visszatérését az olasz válogatott elfeledett középpályása,3628
"Több mint nyolc év után ismét otthon játszhatott Pakisztán válogatottja, amely történelmi sikert aratott",3613
Négy évtizede ugyanaz az olasz klub edzője és igazgatója,3567
Nem létező játékost hoztak hírbe az újságok a Liverpoollal,3563
"Chelsea-drukkerek, még egy kis türelem! Pochettino munkája beérik",3537
A sikerkapitány visszatért és ismét történelmet írhat,3525
Visszavonult a Premier League cselkirálya – Eden Hazard nem varázsol többé,3490
El-induló csapat után a Bundesliga 2-ben botladozó Schalkéhoz került a feltörekvő belga tréner,3465
"1,32 helyett 20,00-as oddsot ér a magyar győzelem Litvánia ellen",3430
"Visszavonult Andre Iguodala, LeBron James egyik rémálma",3341
Akár az ázsiai modell is megágyazhat az európai Szuperligának,3245
"Emléktáblát kapott, stadiont érdemelne Zsengellér Gyula, minden idők egyik legnagyobb csatára",3237
"Tisztességesen helytálló DVTK, egy góllal biztosan jobb Ferencváros",3227
Az ismeretlen Callejón története,3123
A legnagyobb vb-meccsek: így lett Schumacher a második leggyűlöltebb német,3076
"„Ezt csak akkor adhatod fel, ha eltörik a lábad” – interjú a Debrecenből a Kékestetőre felfutó Nádudvari Péterrel",2986
Andrea Pirlo gyerekkora óta a borok bűvöletében él,2943
Antonio Banderas akár futballista is lehetett volna,2906
Vajon fog még szárnyalni az idényben a törött szárnyú bagoly?,2894
Így nyerhetsz két VIP jegyet a Liverpool – Manchester United meccsre,2892
A tavaly nyári nagybevásárlást idén egy hétbe sűrítette a Nottingham Forest,2888
De zerbiánus fordulat a nizzai pénzhalmokon és a filozófia korlátai,2834
Tim Howardnak a sport segített a betegségével való együttélésben,2820
"Jön a magyar–lengyel kézimeccs, az ellenfelünk sokkal inkább építkezhet a BL-re",2745
"Rosszul játszva nyert fontos meccset a Szeged, ami óriási erény – elemzés",2702
Amikor a magyar sportnapilap diktálta a világnak az innováció ütemét,2692
A dalba foglalt három napig tartó teniszmeccs,2690
"Támadásban mutatott biztató jeleket, védekezésben továbbra is szenved a magyar válogatott",2645
"Egykori DJ épített remek futballklubot San Diegóban, de hamar véget ért a tündérmese",2625
Pincérből lett jobbszélső a spanyol élvonalba 29 évesen berobbanó Rioja,2613
A Guardiola–De Zerbi csata margójára: előttem az utódom?,2555
